"Dato","Hijri-dato","Fajr","Fajrslutt","Duhr","Asr","1x-skygge","2x-skygge","Maghrib","Isha"
"01-04-2023","10-9-1444","04:28","06:38","13:30","16:47","16:47","17:41","20:04","22:01"
"02-04-2023","11-9-1444","04:24","06:35","13:30","16:49","16:49","17:43","20:06","22:02"
"03-04-2023","12-9-1444","04:20","06:32","13:30","16:50","16:50","17:45","20:08","22:03"
"04-04-2023","13-9-1444","04:15","06:29","13:30","16:51","16:51","17:46","20:11","22:04"
"05-04-2023","14-9-1444","04:11","06:26","13:29","16:53","16:53","17:48","20:13","22:05"
"06-04-2023","15-9-1444","04:07","06:23","13:29","16:54","16:54","17:50","20:16","22:06"
"07-04-2023","16-9-1444","04:02","06:20","13:29","16:55","16:55","17:52","20:18","22:07"
"08-04-2023","17-9-1444","03:58","06:17","13:28","16:57","16:57","17:53","20:21","22:08"
"09-04-2023","18-9-1444","03:53","06:14","13:28","16:58","16:58","17:55","20:23","22:09"
"10-04-2023","19-9-1444","03:49","06:11","13:28","16:59","16:59","17:57","20:25","22:10"
"11-04-2023","20-9-1444","03:44","06:08","13:28","17:01","17:01","17:58","20:28","22:11"
"12-04-2023","21-9-1444","03:39","06:05","13:27","17:02","17:02","18:00","20:30","22:13"
"13-04-2023","22-9-1444","03:34","06:02","13:27","17:03","17:03","18:02","20:33","22:14"
"14-04-2023","23-9-1444","03:34","06:00","13:27","17:04","17:04","18:03","20:35","22:15"
"15-04-2023","24-9-1444","03:34","05:57","13:27","17:06","17:06","18:05","20:38","22:16"
"16-04-2023","25-9-1444","03:34","05:54","13:26","17:07","17:07","18:07","20:40","22:17"
"17-04-2023","26-9-1444","03:34","05:51","13:26","17:08","17:08","18:08","20:43","22:18"
"18-04-2023","27-9-1444","03:34","05:48","13:26","17:09","17:09","18:10","20:45","22:19"
"19-04-2023","28-9-1444","03:34","05:45","13:26","17:10","17:10","18:12","20:48","22:20"
"20-04-2023","29-9-1444","03:34","05:42","13:26","17:12","17:12","18:13","20:50","22:21"
"21-04-2023","1-10-1444","03:34","05:39","13:25","17:13","17:13","18:15","20:53","22:22"
"22-04-2023","2-10-1444","03:34","05:36","13:25","17:14","17:14","18:16","20:55","22:23"
"23-04-2023","3-10-1444","03:34","05:33","13:25","17:15","17:15","18:18","20:57","22:24"
"24-04-2023","4-10-1444","03:34","05:31","13:25","17:16","17:16","18:19","21:00","22:25"
"25-04-2023","5-10-1444","03:34","05:28","13:25","17:17","17:17","18:21","21:02","22:26"
"26-04-2023","6-10-1444","03:34","05:25","13:24","17:18","17:18","18:22","21:05","22:27"
"27-04-2023","7-10-1444","03:34","05:22","13:24","17:19","17:19","18:24","21:07","22:28"
"28-04-2023","8-10-1444","03:34","05:19","13:24","17:21","17:21","18:25","21:10","22:29"
"29-04-2023","9-10-1444","03:34","05:17","13:24","17:22","17:22","18:27","21:12","22:30"
"30-04-2023","10-10-1444","03:34","05:14","13:24","17:23","17:23","18:28","21:15","22:32"
